STA_SEQ,SampleYear,MaxOfFishPer100M,YearGrp
16258,2008,62,G2
15516,2008,58.69565217,G2
16300,2008,3.333333333,G2
16316,2008,10.4,G2
16306,2008,22.4,G2
14504,2008,4.278074866,G2
16159,2008,162.1052632,G2
16387,2008,9.473684211,G2
17166,2008,5.454545455,G2
14551,2008,5.660377358,G2
15570,2008,6.666666667,G2
17948,2008,18.60465116,G2
14819,2008,14,G2
15680,2008,7.2,G2
15210,2008,11,G2
14842,2008,10,G2
14402,2008,3.333333333,G2
15046,2008,33.6,G2
16852,2008,8.333333333,G2
15964,2008,177.7777778,G2
17949,2008,18.60465116,G2
15515,2008,7.619047619,G2
16383,2008,20,G2
16385,2008,14,G2
16377,2008,11.11111111,G2
17403,2008,0,G2
16381,2008,21,G2
16373,2008,42.96296296,G2
16328,2008,12.14953271,G2
16393,2008,18.46153846,G2
14593,2009,0,G2
17002,2009,0,G2
17462,2009,0,G2
15794,2009,3.333333333,G2
14863,2009,3.888888889,G2
17014,2009,0,G2
16705,2009,0,G2
15543,2009,11.42857143,G2
15210,2009,1.333333333,G2
15013,2009,4.516129032,G2
17267,2009,10,G2
15711,2009,3.333333333,G2
16416,2009,21.21212121,G2
15783,2009,4.666666667,G2
15499,2009,69.94219653,G2
15306,2009,0,G2
16330,2009,26.66666667,G2
15304,2009,0,G2
14720,2009,1.333333333,G2
16331,2009,5,G2
16922,2009,100,G2
14602,2009,2.666666667,G2
16295,2009,0,G2
15516,2009,176.0869565,G2
16297,2009,13.33333333,G2
14592,2009,3.076923077,G2
14593,2010,28.15533981,G3
16046,2010,182.6666667,G3
17000,2010,0,G3
15171,2010,29.33333333,G3
15193,2010,13,G3
16913,2010,32,G3
17267,2010,36,G3
16786,2010,63.36633663,G3
16472,2010,0,G3
14597,2010,14.94252874,G3
15796,2010,4.430379747,G3
16106,2010,8,G3
16932,2010,31.06060606,G3
16484,2010,5.405405405,G3
14270,2010,18,G3
16110,2010,64,G3
15964,2010,172.9411765,G3
14263,2010,0,G3
15794,2010,15.48387097,G3
16072,2010,5.142857143,G3
16930,2010,1.459854015,G3
15063,2010,13.15789474,G3
15783,2010,16.1971831,G3
17300,2010,37.03703704,G3
17936,2010,56,G3
15306,2010,14,G3
16271,2010,172,G3
15520,2010,78.66666667,G3
16594,2010,71.27659574,G3
15304,2010,9,G3
16191,2010,56,G3
14592,2010,14.66666667,G3
14774,2010,128,G3
14484,2010,109.3333333,G3
16385,2010,25,G3
17186,2010,11.33333333,G3
16288,2010,1.869158879,G3
17188,2010,0,G3
18002,2010,58.33333333,G3
16126,2010,20.66666667,G3
16609,2010,94.64285714,G3
