DEEPTaxaID,finalID,PHYLUM,CLASS,ORDER,FAMILY,SUBFAMILY,TRIBE,GENUS,SPECIES,FFG,SensitiveEPT,BCG_Attribute
99,Orthocladius (Orthocladius) carlatus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,carlatus,C-G,0,4
100,Orthocladius (Orthocladius) clarkei/obumbratus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,clarkei/obumbratus,C-G,0,4
101,Orthocladius (Orthocladius) dorenus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,dorenus,C-G,0,4
102,Orthocladius (Orthocladius) nigritus,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,nigritus,C-G,0,4
103,Orthocladius (Orthocladius) oliveri,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,oliveri,C-G,0,4
104,Orthocladius (Symposiocladius) lignicola,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,lignicola,C-G,0,4
105,Orthocladius Complex,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Orthocladius,Na,C-G,0,4
107,Ostrocerca albidipennis,Arthropoda,Insecta,Plecoptera,Nemouridae,Na,Na,Ostrocerca,albidipennis,SHR,1,
108,Palaeagapetus celsus,Arthropoda,Insecta,Trichoptera,Hydroptilidae,Na,Na,Palaeagapetus,celsus,SHR,1,
109,Paralauterborniella nigrohalterale,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Paralauterborniella,nigrohalterale,C-G,0,
111,Paraleptophlebia mollis,Arthropoda,Insecta,Ephemeroptera,Leptophlebiidae,Na,Na,Paraleptophlebia,mollis,C-G,1,2
112,Peltoperla arcuata,Arthropoda,Insecta,Plecoptera,Peltoperlidae,Na,Na,Peltoperla,arcuata,SHR,1,
113,Phaenopsectra obediens group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Phaenopsectra,obediens,SCR,0,4
114,Phaenopsectra punctipes group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Phaenopsectra,punctipes,SCR,0,4
115,Physa heterostropha,Mollusca,Gastropoda,Basommatophora,Physidae,Na,Na,Physa,heterostropha,C-G,0,4
116,Physa integra/heterostropha group,Mollusca,Gastropoda,Basommatophora,Physidae,Na,Na,Physa,Na,C-G,0,4
117,Planorbella trivolvis group,Mollusca,Gastropoda,Basommatophora,Planorbidae,Na,Na,Planorbella,trivolvis,SCR,0,
118,Polypedilum fallax group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,fallax,SHR,0,4
119,Polypedilum flavum,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,flavum,SHR,0,4
120,Polypedilum halterale group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,halterale,SHR,0,4
121,Polypedilum illinoense group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,illinoense,SHR,0,4
122,Polypedilum scalaenum group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Polypedilum,scalaenum,SHR,0,4
123,Potthastia gaedii group,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Na,Potthastia,gaedii,C-G,0,4
124,Potthastia longimana group,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Na,Potthastia,longimana,C-G,0,4
125,Potthastia longimana/gaedii group,Arthropoda,Insecta,Diptera,Chironomidae,Diamesinae,Na,Potthastia,longimana/gaedii,C-G,0,4
126,Pseudocloeon frondale,Arthropoda,Insecta,Ephemeroptera,Baetidae,Na,Na,Pseudocloen,frondale,SCR,0,
127,Rasvena terna,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Na,Na,Rasvena,terna,C-G,1,3
128,Remenus bilobatus,Arthropoda,Insecta,Plecoptera,Perlodidae,Na,Na,Remenus,bilobatus,PRD,1,
129,Rheocricotopus (robacki),Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Rheocricotopus,robacki,C-G,0,3
130,Rheotanytarsus distinctissimus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,distinctissimus,C-F,0,4
131,Rheotanytarsus exiguus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,exiguus,C-F,0,4
132,Rheotanytarsus pellucidus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Rheotanytarsus,distinctissimus,C-F,0,4
133,Rhyacophila atrata,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,atrata,PRD,1,3
134,Rhyacophila formosa,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,formosa,PRD,1,3
135,Rhyacophila mainensis,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,mainensis,PRD,1,3
136,Rhyacophila minora,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,minora,PRD,1,3
137,Rhyacophila torva,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,torva,PRD,1,3
138,Rhyacophila Type C,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,Na,PRD,1,3
139,Rhyacophila Type D,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,Na,PRD,1,3
140,Rhyacophila Type E,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,Na,PRD,1,3
141,Rhyacophila Type F,Arthropoda,Insecta,Trichoptera,Rhyacophilidae,Na,Na,Rhyacophila,Na,PRD,1,3
142,Serratella frisoni,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Na,Na,Serratella,frisoni,C-G,1,3
143,Shipsa rotunda,Arthropoda,Insecta,Plecoptera,Nemouridae,Na,Na,Shipsa,rotunda,SHR,1,3
144,Simulium tuberosum group,Arthropoda,Insecta,Diptera,Simuliidae,Na,Na,Simulium,tuberosum,C-F,0,5
145,Simulium venustum group,Arthropoda,Insecta,Diptera,Simuliidae,Na,Na,Simulium,venustum,C-F,0,5
146,Siphlonurus quebecensis,Arthropoda,Insecta,Ephemeroptera,Siphlonuridae,Na,Na,Siphlonurus,quebecensis,C-G,1,
147,Soyedina vallicularia/washingtoni,Arthropoda,Insecta,Plecoptera,Nemouridae,Na,Na,Soyedina,Na,SHR,1,3
148,Stylurus plagiatus,Arthropoda,Insecta,Odonata,Gomphidae,Na,Na,Stylurus,plagiatus,PRD,0,3
149,Suwallia/Sweltza,Arthropoda,Insecta,Plecoptera,Chloroperlidae,Na,Na,Na,Na,PRD,1,3
150,Synorthocladius semivirens,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Synorthocladius,semivirens,C-G,0,5.5
151,Taenionema atlanticum,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Na,Na,Taenionema,atlanticum,SHR,1,3
152,Taeniopteryx burksi group,Arthropoda,Insecta,Plecoptera,Taeniopterygidae,Na,Na,Taeniopteryx,burksi,SHR,1,3
153,Tallaperla maria,Arthropoda,Insecta,Plecoptera,Peltoperlidae,Na,Na,Tallaperla,maria,SHR,1,2
154,Tanytarsus coffmani,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Tanytarsus,coffmani,C-F,0,4
155,Tanytarsus glabrescens group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Tanytarsus,glabrescens,C-F,0,4
156,Tanytarsus guerlus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Tanytarsini,Tanytarsus,guerlus,C-F,0,4
157,Thienemanniella fusca,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Thienemanniella,fusca,C-G,0,4
158,Thienemannimyia group,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Na,Thienemannimyia,Na,PRD,0,4
159,Dannella simplex,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Na,Na,Dannella,simplex,C-G,1,2
160,Tribelos jucundum,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Chironomini,Tribelos,jucundus,C-G,0,4
161,Trissocladius,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Trissocladius,Na,C-G,0,
162,Tubificidae Type I,Annelida,Oligochaeta,Tubificida,Tubificidae,Na,Na,Na,Na,C-G,0,5
163,Tubificidae Type II,Annelida,Oligochaeta,Tubificida,Tubificidae,Na,Na,Na,Na,C-G,0,5
164,Tvetenia bavarica group,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Tvetenia,bavarica,C-G,0,4
165,Tvetenia bavarica/paucunca,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Tvetenia,bavarica,C-G,0,4
166,Tvetenia vitracies group,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Tvetenia,vitracies,C-G,0,4
167,Uchidastygacarus,Arthropoda,Arachnida,Trombidiformes,Uchidastygacaridae,Na,Na,Uchidastygacarus,Na,PRD,0,4
168,Acentrella parvula,Arthropoda,Insecta,Ephemeroptera,Baetidae,Na,Na,Acentrella,parvula,SCR,0,4
169,Actinobdella,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Haementeriinae,Na,Actinibdella,Na,PRD,0,
170,Aeolosoma,Annelida,Polychaeta,Na,Aeolosomatidae,Na,Na,Aeolosoma,Na,C-G,0,
171,Aeolosomatidae,Annelida,Polychaeta,Na,Aeolosomatidae,Na,Na,Na,Na,C-G,0,
172,Aeshna,Na,Insecta,Odonata,Aeshnidae,Na,Na,Aeshna,Na,PRD,0,
173,Agnetina,Na,Insecta,Plecoptera,Perlidae,Na,Na,Agnetina,Na,PRD,1,3
174,Ameletus,Arthropoda,Insecta,Ephemeroptera,Ameletidae,Na,Na,Ameletus,Na,C-G,1,
175,Apedilum ,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Na,Apedilum,Na,C-G,0,
176,Apsectrotanypus ,Arthropoda,Insecta,Diptera,Chironomidae,Tanypodinae,Na,Apsectrotanypus,Na,PRD,0,
177,Arctopsyche ladogensis ,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Arctopsyche,Na,,0,
178,Atrichopogon,Arthropoda,Insecta,Diptera,Ceratopogonidae,Na,Na,Atrichopogon,Na,PRD,0,3
179,Aturidae,Arthropoda,Arachnida,Acariformes,Aturidae,Na,Na,Na,Na,PRD,0,4
180,Aturus ,Arthropoda,Arachnida,Trombidoformes,Aturidae,Na,Na,Aturus,Na,,0,
181,Aulodrilus,Annelida,Clitellata,Haplotaxida,Tubificidae,Na,Na,Aulodrilus,Na,,0,5
182,Baetisca rubescens ,Arthropoda,Insecta,Ephemeroptera,Baetiscidae,Na,Na,Baetisca,Na,,1,3
183,Bivalvia,Mollusca,Bivalvia,Na,Na,Na,Na,Na,Na,C-F,0,
184,Brachycentrus americanus,Arthropoda,Insecta,Trichoptera,Brachycentridae,Na,Na,Brachycentrus,Na,,1,3
185,Brachycentrus nigrosoma,Arthropoda,Insecta,Trichoptera,Brachycentridae,Na,Na,Brachycentrus,Na,,1,3
186,Brachycentrus solomoni,Arthropoda,Insecta,Trichoptera,Brachycentridae,Na,Na,Brachycentrus,Na,,1,3
187,Branchiobdellidae,Annelida,Clitellata,Branchiobdellida,Branchiobdellidae,Na,Na,Na,Na,C-G,0,
188,Caenis anceps,Arthropoda,Insecta,Ephemeroptera,Caenidae,Na,Na,Caenis,anceps,C-G,1,4
189,Cardiocladius albiplumus,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Cardiocladius,Na,,0,5
190,Cardiocladius decisum,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Cardiocladius,Na,,0,5
191,Ceratopsyche,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Hydropsychinae,Na,Ceratopsyche,Na,C-F,0,5
192,Chaetogaster diastrophus,Na,Oligochaeta,Tubificida,Naididae,Na,Na,Chaetogaster,diastrophus,C-G,0,
193,Chelifera/Hemerodromia,Arthropoda,Insecta,Diptera,Empididae,Na,Na,Na,Na,PRD,0,4
194,Chelifera/Metachela,Arthropoda,Insecta,Diptera,Empididae,Hemerodromiinae,Na,Chelifera,Na,PRD,0,4
195,Chromagrion conditum,Na,Insecta,Odonata,Coenagrionidae,Na,Na,Chromagrion,conditum,PRD,0,
196,Clathrosperchon americanus,Arthropoda,Arachnida,Trombidiformes,Clathrosperchonidae,Na,Na,Clathrosperchon,americanus,PRD,0,4
197,Clioperla clio,Arthropoda,Insecta,Plecoptera,Perlodidae,Na,Na,Clioperla,clio,PRD,1,3
198,Cloeon dipterum,Na,Insecta,Ephemeroptera,Baetidae,Na,Na,Cloeon,dipterum,C-G,0,
199,Coenagrion/Enallagma,Na,Insecta,Odonata,Coenagrionidae,Na,Na,Enallagma,Na,PRD,0,4
200,Corbicula,Mollusca,Bivalvia,Veneroida,Corbiculidae,Na,Na,Corbicula,Na,C-F,0,6
201,Corbiculoidea,Arthropoda,Bivalvia,Veneroida,Na,Na,Na,Na,Na,C-F,0,
202,Corduliidae,Arthropoda,Insecta,Odonata,Corduliidae,Na,Na,Na,Na,PRD,0,
203,Crangonyctidae,Arthropoda,Malacostraca,Amphipoda,Crangonyctidae,Na,Na,Na,Na,C-G,0,
204,Cricotopus bicinctus group,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Na,Cricotopus,bicinctus,SCR,0,5.5
205,Cyathura polita,Arthropoda,Malacostraca,Isopoda,Anthuridea,Na,Na,Cyathura,polita,C-G,0,
206,Dentatella ,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Na,Na,Dentatella,Na,,1,
207,Desserobdella phalera,Na,Clitellata,Rhynchobdellida,Glossiphoniidae,Na,Na,Desserobdella,phalera,PRD,0,
208,Dicrotendipes simpsoni,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Na,Dicrotendipes,simpsoni,C-G,0,5.5
209,Dictya pictipes,Na,Insecta,Diptera,Sciomyzidae,Na,Na,Dictya,pictipes,PRD,0,
210,Didymops transversa,Arthropoda,Insecta,Odonata,Macromiidae,Na,Na,Didymops,transversa,PRD,0,
211,Diplectrona metaqui,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Na,Na,Diplectrona,metaqui,C-F,0,3
212,Diplocladius,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Na,Diplocladius,Na,C-G,0,4
213,Djalmabatista,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Djalmabatista,Na,PRD,0,
214,Djalmabatista pulcher,Na,Insecta,Diptera,Chironomidae,Na,Na,Djalmabatista,pulcher,PRD,0,
215,Doncricotopus,Arthropoda,Insecta,Diptera,Chironomidae,Chironominae,Na,Doncricotopus,Na,SHR,0,
216,Dreissena polymorpha,Mullusca,Bivalvia,Veneroida,Dreissenidae,Na,Na,Dreissena,polymorpha,C-F,0,
217,Ephemerella aurivillii,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,Na,Na,Ephemerella,Na,,1,3
218,Epitheca,Na,Insecta,Odonata,Corduliidae,Na,Na,Epitheca,Na,PRD,0,
219,Epoicocladius,Arthropoda,Insecta,Diptera,Chironomidae,Na,Na,Epoicocladius,Na,,0,
220,Erioptera ,Arthropoda,Insecta,Diptera,Tipulidae,Na,Na,Erioptera,Na,C-G,0,
221,Eukiefferiella coerulescens group,Na,Insecta,Diptera,Chironomidae,Na,Na,Eukiefferiella,coerulescens,C-G,0,3
222,Eukiefferiella gracei group,Arthropoda,Insecta,Diptera,Chironomidae,Orthocladiinae,Na,Eukiefferiella,gracei,C-G,0,3
223,Feltria ,Arthropoda,Arachnida,Trombidoformes,Feltriidae,Na,Na,Feltria,Na,,0,
224,Gomphus,Na,Insecta,Odonata,Gomphidae,Na,Na,Gomphus,Na,PRD,0,
225,Gonomyia,Na,Insecta,Diptera,Tipulidae,Na,Na,Gonomyia,Na,?,0,
226,Gyrinidae,Arthropoda,Insecta,Coleoptera,Gyrinidae,Na,Na,Na,Na,PRD,0,
227,Haliplidae,Arthropoda,Insecta,Coleoptera,Haliplidae,Na,Na,Na,Na,,0,
228,Hansonoperla,Arthropoda,Insecta,Plecoptera,Perlidae,Na,Na,Na,Na,PRD,1,2
229,Helichus basalis,Arthropoda,Insecta,Coleoptera,Dryopidae,Na,Na,Helichus,basalis,SCR,0,4
230,Helicopsychidae,Arthropoda,Insecta,Trichoptera,Helicopsychidae,Na,Na,Na,borealis,SCR,1,2
231,Helobdella,Annelida,Clitellata,Rhynchobdellida,Glossiphoniidae,Na,Na,Helobdella,Na,PRD,0,5.5
232,Helocordulia selysii,Arthropoda,Insecta,Odonata,Corduliidae,Corduliinae,Na,Helocordulia,selysii,PRD,0,
233,Hesperoconopa,Arthropoda,Insecta,Diptera,Tipulidae,Na,Na,Hesperoconopa,Na,C-G,0,
234,Heteroplectron americanum,Na,Insecta,Trichoptera,Calamoceratidae,Na,Na,Heteroplectron,americanum,SHR,1,3
235,Hirudinida,Arthropdoda,Clitellata,Branchiobdellida,Na,Na,Na,Na,Na,C-G,0,
