SID,Year,SummerTemp,TempCatS
16114,2014,16.65357246,Cold
16114,2015,17.36770845,Cold
16114,2016,20.18538587,Cool
16119,2011,18.47691307,Cool
16119,2013,18.35249728,Cool
16119,2014,17.24301993,Cold
16119,2015,17.98660389,Cold
16119,2016,18.3297269,Cool
16119,2017,18.14933424,Cold
16119,2018,18.98161368,Cool
16121,2011,18.41496568,Cool
16121,2013,18.2105317,Cold
16121,2014,16.51589402,Cold
16121,2015,17.50876739,Cold
16122,2013,18.33507292,Cool
16122,2014,17.30495924,Cold
16122,2015,17.84038121,Cold
16124,2011,18.4649432,Cool
16124,2013,18.85781476,Cool
16124,2014,18.28030888,Cold
16124,2015,17.83218443,Cold
16124,2016,17.78370205,Cold
16124,2017,17.75801313,Cold
16124,2018,18.81436187,Cool
16126,2010,21.3889,Cool
16126,2013,17.88315444,Cold
16126,2014,17.67548098,Cold
16126,2015,18.59590127,Cool
16127,2011,17.50596378,Cold
16127,2013,17.69583696,Cold
16127,2014,16.85325462,Cold
16127,2015,17.03379212,Cold
16127,2016,15.08280245,Cold
16127,2017,16.33012772,Cold
16127,2018,17.60248868,Cold
16143,2013,18.74117708,Cool
16143,2014,18.00375163,Cold
16143,2015,18.33002663,Cool
16191,2010,17.74597455,Cold
16191,2013,17.68604167,Cold
16191,2014,17.03888419,Cold
16191,2015,17.00470686,Cold
16239,2013,17.57855571,Cold
16239,2014,16.83803966,Cold
16239,2015,15.49809783,Cold
16239,2016,17.5875702,Cold
16253,2009,18.23599638,Cold
16253,2010,19.51672101,Cool
16253,2011,19.213125,Cool
16253,2012,19.69808424,Cool
16253,2013,19.94944203,Cool
16253,2014,18.88174457,Cool
16258,2013,14.74429937,Cold
16258,2014,13.07642799,Cold
16258,2015,11.34316033,Cold
16258,2016,12.62058786,Cold
16271,2010,18.30836588,Cool
16271,2011,17.57068645,Cold
16271,2013,17.58043659,Cold
16271,2014,16.69582609,Cold
16271,2015,17.28885326,Cold
16288,2010,19.52271815,Cool
16288,2013,19.87544339,Cool
16288,2014,18.03018433,Cold
16288,2015,18.89312394,Cool
16333,2012,18.1016567,Cold
16333,2013,17.51849222,Cold
16333,2014,16.73114266,Cold
16333,2015,17.44686549,Cold
16333,2016,18.51653804,Cool
16333,2018,18.24469112,Cold
16370,2010,19.40331321,Cool
16370,2011,18.85867979,Cool
16370,2013,18.11836911,Cold
16370,2014,17.93911322,Cold
16370,2015,18.37242029,Cool
16370,2016,19.57486073,Cool
16370,2017,18.06187772,Cold
16370,2018,18.8577423,Cool
16387,2013,16.93274366,Cold
16387,2014,16.16730471,Cold
16387,2015,16.27113444,Cold
16387,2016,16.19261551,Cold
16387,2017,15.87722192,Cold
16387,2018,17.09208469,Cold
16422,2008,18.66840534,Cool
16422,2009,17.89710598,Cold
16422,2010,19.55264493,Cool
16422,2011,19.0868519,Cool
16422,2012,19.41823098,Cool
16422,2013,18.61366757,Cool
16422,2014,18.25659239,Cold
16423,2008,17.67843886,Cold
16423,2009,16.94322736,Cold
16423,2010,18.77251307,Cool
16423,2011,18.32546694,Cool
16431,2014,17.9138673,Cold
16431,2015,18.48324321,Cool
16431,2016,19.33277853,Cool
16431,2017,18.04254574,Cold
16431,2018,18.92343116,Cool
16863,2017,16.47784149,Cold
16863,2018,17.52646558,Cold
17321,2013,20.73357509,Cool
17321,2014,18.2839615,Cold
17321,2015,18.90309013,Cool
17321,2016,19.69484239,Cool
17321,2018,19.69455752,Cool
17338,2009,18.21729438,Cold
17338,2010,20.15975996,Cool
17365,2017,18.17671603,Cold
17365,2018,18.22566712,Cold
17595,2013,18.71074638,Cool
17595,2014,17.60358741,Cold
17816,2014,16.92506159,Cold
17816,2015,17.5094214,Cold
17852,2014,16.91633379,Cold
17852,2015,17.23930842,Cold
18464,2013,16.54382156,Cold
18464,2014,15.71603442,Cold
18464,2015,15.95190532,Cold
18504,2013,19.88713134,Cool
18504,2014,18.28993659,Cold
19019,2016,17.09602944,Cold
19019,2017,17.09397917,Cold
19019,2018,18.15149909,Cold
19020,2016,18.42458877,Cool
19020,2017,16.86705707,Cold
19020,2018,17.79556114,Cold
19021,2016,17.67932926,Cold
19021,2017,16.5158587,Cold
19021,2018,17.25148143,Cold
19025,2016,18.13012772,Cold
19025,2017,18.09933243,Cold
19025,2018,19.43149176,Cool
19655,2017,17.30444384,Cold
19655,2018,18.32296966,Cool
19696,2017,13.52116984,Cold
19696,2018,14.83307382,Cold
19700,2017,16.99520516,Cold
19700,2018,17.66803846,Cold
