DrainID,Strahler,HydroID,StrMi,SqMi,0,1,2,3,4,5,6,Sum,Str_Drain
103005513,1,103005513,0.25,0.02756199,8,0,0,11,0,0,4,23,14450
103005514,1,103005514,0.16,0.019491223,0,0,1,3,0,0,25,29,14450
103005515,1,103005515,2.225855523,1.4166503137,0,0,0,5,0,0,11,16,14450
103005516,2,103005516,0.45,0.053502077,0,0,0,10,0,0,0,10,14450
103005529,1,103005529,0.07,0.01,9,0,23,0,0,0,12,44,14450
103005537,1,103005537,0.69,0.37,39,0,0,0,0,0,191,230,14450
103005543,2,103005543,1.89,0.8,103,0,49,0,0,0,0,152,14450
103005544,1,103005544,0.29,0.09,17,0,64,0,0,0,178,259,14450
103005552,2,103005552,7.13255096,3.1423631122,43,0,3,28,0,119,0,193,14450
103005589,1,103005589,0.85,0.48,35,0,49,0,0,0,238,322,14450
103005627,2,103005627,7.53255096,3.4223631122,310,3,155,16,6,294,0,784,14450
103005628,2,103005628,2.58,1.07,288,3,85,0,0,0,138,514,14450
103005630,1,103005630,0.05,0.02,25,0,19,0,0,0,16,60,14450
103005649,1,103005649,1.05,0.61,80,0,84,0,0,0,201,365,14450
103005652,1,103005652,1.09,0.613873969,0,0,0,0,0,0,12,12,14450
103005657,1,103005657,0.15,0.03,0,0,1,0,0,0,40,41,14450
103005659,1,103005659,0.16,0.030355117,0,0,0,0,0,0,2,2,14450
103005660,1,103005660,1.11,0.615165288,0,0,0,0,0,0,2,2,14450
103005661,1,103005661,0.1,0.1,19,0,24,14,0,0,244,301,14450
103005679,1,103005679,0.22,0.09,17,0,56,32,0,0,162,267,14450
103005685,1,103005685,0.13,0.2,123,7,186,47,0,155,61,579,14450
103005692,2,103005692,7.89255096,3.5023631122,143,2,70,0,0,9,0,224,14450
103005710,1,103005710,0.18,0.204648754,1,0,1,7,0,4,0,13,14450
103005734,2,103005734,1.5,0.755520405,92,4,76,0,0,0,156,328,14450
103005744,1,103005744,0.23,0.21033057,1,0,10,2,0,4,0,17,14450
103005756,1,103005756,0.05,0.01,5,0,10,0,0,0,15,30,14450
103005757,2,103005757,8.10255096,3.5523631122,75,3,32,0,0,56,0,166,14450
