STA_SEQ,Station_Na,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI,InState,Len_Miles
17215,Yawbucs Brook,3,6.21111,1.973746,0,0,5684,1653,0,0.290816,11.768266,0.069363,0,0,0,0,0,1,1,1,1,4,1,1,0.209
16661,Fishtown Brook,3,5.754669,1.66977,0,0,4816,64050,0,13.299419,11.739458,0.056547,0,0,0,0,0,3,1,1,1,6,2,1,0.092
14551,Coginchaug River,3,9.48,3.96,0,0,11595,11706,0,1.009573092,11.670782,0.160864411,0,0,0,0,0,1,1,1,1,4,1,1,0.192
16015,Murphy Brook,3,6.500099,1.769619,0,0,5099,700,0,0.13728182,10.68666083,0.057873342,0,0,0,0,0,1,1,1,1,4,1,1,0.14
14720,Green Fall River,3,15.299597,7.651624,1,0,22026,8863,0,0.402388,10.556627,0.340263,0,0,0,0,0.065361,1,1,2,1,5,1,1,0.024
16921,NORTH BRANCH POOTATUCK BROOK,3,9.651748235,3.615556606,0,0,11255,20950,0,1.861394936,10.54489195,0.136863232,0,0,0,0,0,1,1,1,1,4,1,1,0.088
17267,Stony Brook,3,3.773069,1.139943,0,0,3279,16118,0,4.915523,10.517969,0.03366,0,0,0,0,0,2,1,1,1,5,1,1,0.238
16192,Trading Cove Brook,4,27.573644,9.233661,1,0,26558,70612,0,2.658784547,10.42993046,0.424882488,0,0,0,0,0.036266516,2,1,2,1,6,2,1,0.172
16944,PEAKE BROOK,3,8.145875,3.116923,0,0,8965,7343,0,0.819074177,9.964785085,0.11108646,0,0,0,0,0,1,1,1,1,4,1,1,0.222
14402,Poland River,3,19.5,6.821039,3,148.3,20103,16364,0,0.81400786,9.782889775,0.284823776,229.4540088,0,805.5999105,0,0.153846154,1,3,3,1,8,2,1,0.216
14227,Hemp Swamp Brook,3,6.22,2.53451963,5,0,7611,17219,0,2.262383392,9.58449842,0.084739563,0,0,0,0,0.803858521,2,1,3,1,7,2,1,0.121
16079,Pendleton Hill Brook,2,6.688642,4.100687,0,0,11792,6994,0,0.593114,9.57858,0.151932,0,0,0,0,0,1,1,1,1,4,1,1,0.222
15796,PENDLETON HILL BROOK,2,6.688642,4.100687,0,0,11792,6994,0,0.593114,9.57858,0.151932,0,0,0,0,0,1,1,1,1,4,1,1,0.222
16679,Fry Brook,2,5.313127,2.166638,0,0,6237,25497,0,4.088023088,9.246952946,0.068794186,0,0,0,0,0,2,1,1,1,5,1,1,0.273
14439,Salmon Creek (Salmon Kill),4,66.34682669,31.72298812,6,4.58,93558,89978,0.67,0.961734967,9.218464764,1.786556756,7.086307217,1.036643196,3.96646073,0.580246439,0.090433865,1,3,2,2,8,2,1,0.331
