STA_SEQ,locationNa,CountOfSam,MaxOfNomin,ylat,xlong,HydroID,NextDown,SqMi,CFPct_1985,CFPct_1990,CFPct_1995,CFPct_2002,CFPct_2006,CFPct_2010,CFPct_2015,DevPct_1985,DevPct_1990,DevPct_1995,DevPct_2002,DevPct_2006,DevPct_2010,DevPct_2015,CFPctDiff1985_1990,CFPctDiff1985_1995,CFPctDiff1985_2002,CFPctDiff1985_2006,CFPctDiff1985_2010,CFPctDiff1985_2015,DevPctDiff1985_1990,DevPctDiff1985_1995,DevPctDiff1985_2002,DevPctDiff1985_2006,DevPctDiff1985_2010,DevPctDiff1985_2015
17007,ROARING BROOK,1,0.5,41.4397,-72.4778,201494590,1007472935,1.751361,0.789678476,0.792750358,0.792750358,0.760802785,0.691378251,0.712267049,0.698750768,0.046897399,0.048740528,0.050174073,0.051402826,0.052836371,0.052836371,0.052836371,0.003071882,0.003071882,-0.028875691,-0.098300225,-0.077411427,-0.090927708,0.001843129,0.003276674,0.004505427,0.005938972,0.005938972,0.005938972
15312,Beaver Brook,1,1,41.409952,-72.329059,201494645,2619430503,8.381508,0.635974487,0.615812679,0.587988528,0.560977698,0.565129917,0.582594923,0.575917127,0.042463936,0.044433029,0.044818287,0.04584564,0.046102478,0.046744574,0.046830187,-0.020161808,-0.047985959,-0.074996789,-0.07084457,-0.053379564,-0.06005736,0.001969093,0.002354351,0.003381704,0.003638542,0.004280638,0.004366251
16410,Roaring Brook No 2,2,1,41.4244,-72.4084,201494648,4231383425,8.126102,0.598957873,0.560628809,0.522520533,0.486840943,0.469840148,0.473858518,0.469575201,0.061423651,0.067826548,0.071756602,0.075421708,0.078203656,0.078247814,0.078247814,-0.038329064,-0.07643734,-0.11211693,-0.129117725,-0.125099355,-0.129382672,0.006402897,0.010332951,0.013998057,0.016780005,0.016824163,0.016824163
16930,Oil Mill Brook,3,0.983870968,41.375558,-72.190655,201494764,1813451889,5.687054,0.495929829,0.473654319,0.451063293,0.446393639,0.445320881,0.44456364,0.447781915,0.078248249,0.086451694,0.087461349,0.092572727,0.092951347,0.096800656,0.100649965,-0.02227551,-0.044866536,-0.04953619,-0.050608948,-0.051366189,-0.048147914,0.008203445,0.0092131,0.014324478,0.014703098,0.018552407,0.022401716
16863,MOOSEHORN BROOK,1,0.611111111,41.5781,-73.3175,201494875,201494876,1.912248,0.52242447,0.513229499,0.490335898,0.496153124,0.493150685,0.49127416,0.492400075,0.066428974,0.068868456,0.068868456,0.069619065,0.07074498,0.07074498,0.07074498,-0.009194971,-0.032088572,-0.026271346,-0.029273785,-0.03115031,-0.030024395,0.002439482,0.002439482,0.003190091,0.004316006,0.004316006,0.004316006
16599,CROSS BROOK,1,0.5,41.5925,-73.3969,201494769,201494977,1.023365,0.372247466,0.339391821,0.329954561,0.330304089,0.210765467,0.213561692,0.213561692,0.055574974,0.063614121,0.063614121,0.084585809,0.113247116,0.113247116,0.114994757,-0.032855645,-0.042292905,-0.041943377,-0.161481999,-0.158685774,-0.158685774,0.008039147,0.008039147,0.029010835,0.057672142,0.057672142,0.059419783
14377,Pattaconk Brook,1,1,41.3991,-72.4651,201495036,1410465137,7.970077,0.524146001,0.507718619,0.492866466,0.462442054,0.459246591,0.461136865,0.455331023,0.102839912,0.108915793,0.112246276,0.117917098,0.120977542,0.121472614,0.121967685,-0.016427382,-0.031279535,-0.061703947,-0.06489941,-0.063009136,-0.068814978,0.006075881,0.009406364,0.015077186,0.01813763,0.018632702,0.019127773
14846,Sawmill Brook,1,1,41.5851,-73.5108,201495052,201495053,2.348698,0.750954927,0.740106952,0.736592819,0.68342246,0.651031322,0.662948816,0.646600458,0.01329259,0.014667685,0.014820474,0.025515661,0.025974026,0.028113063,0.028265852,-0.010847975,-0.014362108,-0.067532467,-0.099923605,-0.088006111,-0.104354469,0.001375095,0.001527884,0.012223071,0.012681436,0.014820473,0.014973262
15901,Pond Meadow Brook,1,0.5,41.3777,-72.5946,201495357,2216447440,6.474472,0.516087944,0.49393587,0.471839176,0.41906186,0.39807277,0.403278507,0.402890846,0.0897159,0.093204851,0.094700116,0.100625796,0.106108434,0.107603699,0.108268262,-0.022152074,-0.044248768,-0.097026084,-0.118015174,-0.112809437,-0.113197098,0.003488951,0.004984216,0.010909896,0.016392534,0.017887799,0.018552362
16044,Chatfield Hollow Brook,1,0.5,41.3742,-72.593,201495396,2619438281,7.237564,0.536487491,0.51538271,0.492197176,0.432598464,0.414367104,0.423482784,0.42308645,0.086004459,0.089274214,0.090859549,0.097299975,0.102501858,0.103839485,0.104433986,-0.021104781,-0.044290315,-0.103889027,-0.122120387,-0.113004707,-0.113401041,0.003269755,0.00485509,0.011295516,0.016497399,0.017835026,0.018429527
16135,Sargent River,1,0.5,41.4272,-72.9899,201495669,201495691,1.508463,0.462817771,0.439771917,0.394392967,0.429555714,0.418389166,0.411261582,0.420052269,0.099786172,0.131860299,0.132335472,0.138037539,0.140650986,0.140650986,0.14160133,-0.023045854,-0.068424804,-0.033262057,-0.044428605,-0.051556189,-0.042765502,0.032074127,0.0325493,0.038251367,0.040864814,0.040864814,0.041815158
14221,Hammonasset River,3,0.5,41.3278,-72.6116,201495759,7455323458,22.370146,0.661022385,0.629545892,0.598229748,0.547575524,0.560708101,0.569014175,0.568292605,0.055753319,0.062391764,0.064957347,0.069302803,0.070248862,0.070296966,0.070665769,-0.031476493,-0.062792637,-0.113446861,-0.100314284,-0.09200821,-0.09272978,0.006638445,0.009204028,0.013549484,0.014495543,0.014543647,0.01491245
14186,Eightmile Brook,1,1,41.3885,-73.1648,201496076,7052343671,17.935105,0.363352671,0.323544709,0.302720544,0.285437087,0.271354271,0.268813763,0.273494699,0.112422484,0.131006201,0.134826965,0.145369074,0.156311262,0.158391678,0.159111822,-0.039807962,-0.060632127,-0.077915584,-0.0919984,-0.094538908,-0.089857972,0.018583717,0.022404481,0.03294659,0.043888778,0.045969194,0.046689338
15994,Eightmile Brook,1,0.8125,41.3842,-73.1642,201496076,7052343671,17.935105,0.363352671,0.323544709,0.302720544,0.285437087,0.271354271,0.268813763,0.273494699,0.112422484,0.131006201,0.134826965,0.145369074,0.156311262,0.158391678,0.159111822,-0.039807962,-0.060632127,-0.077915584,-0.0919984,-0.094538908,-0.089857972,0.018583717,0.022404481,0.03294659,0.043888778,0.045969194,0.046689338
16143,Little River,1,0.5,41.2931,-73.3678,201496681,2216462562,6.170069,0.401499303,0.381508601,0.35460251,0.336878196,0.320548582,0.318921432,0.318456532,0.091062297,0.10018596,0.10181311,0.110646211,0.113784286,0.113784286,0.114132961,-0.019990702,-0.046896793,-0.064621107,-0.080950721,-0.082577871,-0.083042771,0.009123663,0.010750813,0.019583914,0.022721989,0.022721989,0.023070664
16261,Aspetuck River,1,1,41.2771,-73.3275,201496713,3828435342,14.188445,0.505536175,0.483062844,0.455002781,0.437180848,0.424793973,0.423201375,0.422063805,0.079680469,0.087314829,0.091865109,0.103695839,0.105541231,0.105869862,0.106729359,-0.022473331,-0.050533394,-0.068355327,-0.080742202,-0.0823348,-0.08347237,0.00763436,0.01218464,0.02401537,0.025860762,0.026189393,0.02704889
15570,Ratlum Brook,1,0.5,41.8723,-72.9561,201490308,604470975,3.46137,0.699606381,0.654650922,0.653615082,0.640563497,0.635487881,0.621089704,0.623368552,0.053656515,0.0615289,0.0615289,0.062771908,0.063289828,0.065257924,0.067329604,-0.044955459,-0.045991299,-0.059042884,-0.0641185,-0.078516677,-0.076237829,0.007872385,0.007872385,0.009115393,0.009633313,0.011601409,0.013673089
