HydroID,NextDown,SqMi,CFcount,CF_1985,CF_1990,CF_1995,CF_2002,CF_2006,CF_2015,CF_2010
201487680,201487926,0.44896,1254,0.472886762,0.340510367,0.314194577,0.279904306,0.263157895,0.242424242,0.256778309
201488367,201488448,0.449655,1254,0.396331738,0.384370016,0.370015949,0.369218501,0.36523126,0.36523126,0.364433812
201490328,201490252,0.449655,1254,0.398724083,0.379585327,0.368421053,0.373205742,0.352472089,0.362838915,0.343700159
201494361,201494594,0.450348,1254,0.540669856,0.533492823,0.5215311,0.518341308,0.524720893,0.524720893,0.524720893
201484599,201484795,0.449307,1255,0.690836653,0.668525896,0.598406375,0.563346614,0.564940239,0.565737052,0.565737052
201490746,201490732,0.449654,1255,0,0,0,0,0,0,0
201493017,201493018,0.449307,1255,0.134661355,0.131474104,0.117928287,0.132270916,0.101195219,0.116334661,0.116334661
201493379,201493464,0.45035,1255,0.576095618,0.566533865,0.562549801,0.556972112,0.547410359,0.547410359,0.539442231
201493778,201493875,0.451045,1255,0.947410359,0.947410359,0.905179283,0.852589641,0.874900398,0.877290837,0.877290837
201494729,201494861,0.44896,1255,0.896414343,0.896414343,0.859760956,0.885258964,0.87250996,0.875697211,0.875697211
201496436,201496392,0.449307,1255,0.033466135,0.029482072,0.027091633,0.020717131,0.018326693,0.018326693,0.019920319
201487641,201487745,0.453477,1256,0.003980892,0.003980892,0.003980892,0.003980892,0.003980892,0.003980892,0.003980892
201488606,201488614,0.452434,1256,0.441878981,0.317675159,0.309713376,0.281050955,0.252388535,0.252388535,0.25955414
201492784,201492820,0.449307,1256,0.599522293,0.554140127,0.550159236,0.597133758,0.599522293,0.599522293,0.599522293
201488522,201488640,0.451392,1257,0.46778043,0.462211615,0.448687351,0.353221957,0.359586317,0.354813047,0.354017502
201489754,201489755,0.450002,1257,0.369928401,0.364359586,0.330946698,0.330151154,0.332537788,0.332537788,0.332537788
201489926,201489895,0.450696,1257,0.506762132,0.500397772,0.497215593,0.499602228,0.499602228,0.500397772,0.500397772
201490586,201490591,0.451045,1258,0.438791733,0.43163752,0.417329094,0.407790143,0.39745628,0.40381558,0.383147854
201497003,201497051,0.45174,1258,0.003974563,0.002384738,0.000794913,0.000794913,0.000794913,0.000794913,0.000794913
201490738,201490790,0.451045,1259,0.172359015,0.165210485,0.158061954,0.152501986,0.154090548,0.14217633,0.137410643
201494069,201494146,0.45035,1259,0.024622716,0.008737093,0.007148531,0.008737093,0.008737093,0.008737093,0.008737093
201497108,201497119,0.452434,1259,0.021445592,0.014297061,0.014297061,0.012708499,0.011119936,0.011119936,0.011119936
201497185,1,0.451045,1259,0.003971406,0.001588562,0.000794281,0.000794281,0,0,0
201486118,201486288,0.450002,1260,0,0,0,0,0,0,0
201493049,201493025,0.452435,1260,0.068253968,0.029365079,0.027777778,0.026984127,0.026984127,0.026984127,0.026984127
201488240,201488244,0.453824,1261,0.540840603,0.537668517,0.513877875,0.551942902,0.559080095,0.567010309,0.53925456
201488664,201488757,0.45174,1261,0.416336241,0.402854877,0.402061856,0.402854877,0.383029342,0.39333862,0.39333862
201489321,201489331,0.453824,1261,0.862014274,0.862014274,0.862807296,0.863600317,0.863600317,0.864393339,0.863600317
201494318,201494614,0.452435,1261,0.830293418,0.829500397,0.829500397,0.830293418,0.81443299,0.830293418,0.830293418
201488176,201488262,0.45452,1262,0.906497623,0.862123613,0.868462758,0.823296355,0.849445325,0.87955626,0.839936609
201487264,201487388,0.451392,1263,0.832937451,0.836104513,0.835312747,0.834520982,0.834520982,0.834520982,0.834520982
201488090,201488054,0.45174,1263,0.418052257,0.421219319,0.413301663,0.41567696,0.414093428,0.375296912,0.3847981
201488999,201488895,0.453477,1263,0.70783848,0.70783848,0.685669042,0.615993666,0.488519398,0.488519398,0.485352336
201490680,201490665,0.453477,1263,0.151227237,0.110055424,0.104513064,0.106888361,0.103721298,0.066508314,0.064924782
201491805,201491911,0.452782,1263,0.13064133,0.129057799,0.13064133,0.131433096,0.129849565,0.125890736,0.129849565
201496255,201496270,0.453129,1263,0.150435471,0.150435471,0.14330958,0.150435471,0.14885194,0.149643705,0.149643705
201486081,201486070,0.452782,1264,0,0,0,0,0,0,0
201489497,201489532,0.45313,1264,0.264240506,0.238132911,0.243670886,0.231803797,0.226265823,0.233386076,0.233386076
201490921,201490956,0.453825,1264,0.578322785,0.551424051,0.543512658,0.549050633,0.554588608,0.546677215,0.554588608
201495395,201495256,0.453477,1264,0.221518987,0.216772152,0.1875,0.194620253,0.17721519,0.180379747,0.17721519
201495586,201495824,0.452782,1264,0.119462025,0.120253165,0.120253165,0.121044304,0.121835443,0.121835443,0.121835443
201484219,201484379,0.453477,1265,0.727272727,0.629249012,0.633201581,0.582608696,0.588142292,0.57944664,0.577075099
201486935,201487016,0.453825,1265,0.392094862,0.385770751,0.376284585,0.366798419,0.340711462,0.344664032,0.335968379
201487870,201487781,0.45313,1265,0.460079051,0.430039526,0.424505929,0.245059289,0.236363636,0.236363636,0.233992095
201489096,201489253,0.454867,1265,0.046640316,0.043478261,0.042687747,0.042687747,0.042687747,0.041106719,0.041106719
201491129,201491157,0.452087,1265,0.532806324,0.519367589,0.512252964,0.501185771,0.496442688,0.396837945,0.497233202
